ACID,name,link,shop_name,price,operation,level,frequency,purify,Type,CWType,horse,good_func,apply_space,Featured,statu,Set_type,apply_house,duct_form,brand,wind_position,NO_drainage,min_height,cost,user_preference,CommentCountStr,AverageScore,GoodCountStr,GeneralCountStr,PoorCountStr,GoodRate
100091564307,长虹KFR-26GW/ZDHQW1+R1,//item.jd.com/100091564307.html,长虹空调京东自营旗舰店,1599.00,键控/遥控，APP操控,一级能效,变频,无,壁挂式,冷暖,大1匹,智能调节，自清洁，静音设计,#,#,#,#,#,#,长虹（CHANGHONG）,#,#,#,#,#,20万+,5,14万+,300+,800+,0.99
100020059664,奥克斯KFR-35GW/BpR3AQE1(B1),//item.jd.com/100020059664.html,奥克斯空调京东自营旗舰店,1899.00,键控/遥控,一级能效,变频,银离子抗菌滤网,壁挂式,冷暖,1.5匹,自清洁，独立除湿,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,50万+,5,43万+,400+,600+,0.99
100101686324,长虹KFR-35GW/ZDAYW1+R3,//item.jd.com/100101686324.html,长虹空调京东自营旗舰店,1699.00,键控/遥控,三级能效,变频,无,壁挂式,冷暖,1.5匹,智能调节,#,#,#,#,#,#,长虹（CHANGHONG）,#,#,#,#,#,20万+,5,14万+,300+,800+,0.99
100109711798,京灿KFR-35GW/BpR3JDFW(B1),//item.jd.com/100109711798.html,京灿空调京东自营旗舰店,1899.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,1.5匹,自清洁,#,#,#,#,#,#,京灿,#,#,#,#,舒适风,100+,5,40+,1,1,0.95
10106600243753,Wanbao空调挂机家用大1.5匹变频冷暖壁挂式客厅新能效低噪节能省电 1.5匹 冷暖+全铜管 上门安装,//item.jd.com/10106600243753.html,万宝空调旗舰店,1389.00,键控/遥控,五级能效,定频,#,壁挂式,冷暖,1.5匹,#,#,#,#,#,#,#,万宝（Wanbao）,#,#,#,#,#,1000+,5,700+,9,8,0.97
10024662282574,奥克斯（AUX）KFR-33GW/BpR3PQK16(B1),//item.jd.com/10024662282574.html,奥克斯星火专卖店,1399.00,键控/遥控,三级能效,变频,除菌,壁挂式,单冷,1匹,静音设计，独立除湿，可拆洗,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,2万+,5,1.2万+,40+,100+,0.98
10095334349424,康佳（KONKA）KFR-51LW/LVC3,//item.jd.com/10095334349424.html,康佳空调旗舰店,2599.00,键控/遥控,三级能效,变频,#,立柜式,冷暖,2匹,智能调节，自清洁，独立除湿,#,#,#,#,#,#,康佳（KONKA）,#,#,#,#,#,5000+,5,3300+,10,60+,0.97
100094693937,万宝KFR-35GW/BPWB2-N1,//item.jd.com/100094693937.html,万宝空调京东自营旗舰店,1399.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,1.5匹,#,#,#,#,#,#,#,万宝,#,#,#,#,#,1万+,5,7200+,30+,100+,0.97
100053342979,TCLKFR-35GW/RT7Ga+B1,//item.jd.com/100053342979.html,TCL京东自营官方旗舰店,1999.00,键控/遥控，APP操控,一级能效,变频,除菌,壁挂式,冷暖,1.5匹,智能调节，自清洁，独立除湿,#,#,#,#,#,#,TCL,#,#,#,#,#,50万+,5,32万+,700+,1500+,0.99
100047323992,康佳KFR-35GW/HV3,//item.jd.com/100047323992.html,康佳京东自营官方旗舰店,1449.00,键控/遥控,三级能效,变频,#,壁挂式,冷暖,1.5匹,自清洁，独立除湿，可拆洗,#,#,#,#,#,#,康佳（KONKA）,#,#,#,#,舒适风,50万+,5,33万+,1000+,3100+,0.98
