ACID,name,link,shop_name,price,operation,level,frequency,purify,Type,CWType,horse,Function,apply_space,Featured,condition,Set_type,apply_house,duct_form,brand,wind_position,NO_drainage,min_height,cost,user_preference,CommentCountStr,AverageScore,GoodCountStr,GeneralCountStr,PoorCountStr,GoodRate
100098182328,康佳KFR-26GW/T3,//item.jd.com/100098182328.html,康佳京东自营官方旗舰店,1399.00,键控/遥控,三级能效,变频,#,壁挂式,冷暖,大1匹,自清洁，静音设计，独立除湿,#,#,#,#,#,#,康佳（KONKA）,#,#,#,#,#,50万+,5,33万+,1000+,3100+,0.98
10090411309537,先锋（SINGFUN）KFRd-36GW/A1+15BP1a ,//item.jd.com/10090411309537.html,先锋空调旗舰店,1069.00,键控/遥控,五级能效,定频,无,壁挂式,单冷,大1匹,智能调节，静音设计，独立除湿,#,#,#,#,#,#,先锋（SINGFUN）,#,#,#,#,#,1万+,5,4600+,10+,50+,0.98
100041625569,华凌KFR-35GW/N8HL1 pro,//item.jd.com/100041625569.html,华凌京东自营官方旗舰店,1799.00,键控/遥控，APP操控,一级能效,变频,无,壁挂式,冷暖,1.5匹,智能调节，自清洁,#,#,#,#,#,#,华凌,#,#,#,#,舒适风,50万+,5,50万+,700+,2000+,0.99
100097370084,长虹KFR-35GW/ZDCSW1+R1,//item.jd.com/100097370084.html,长虹空调京东自营旗舰店,1799.00,键控/遥控，APP操控,一级能效,变频,银离子抗菌滤网,壁挂式,冷暖,1.5匹,智能调节，自清洁,#,#,#,#,#,#,长虹（CHANGHONG）,#,#,#,#,舒适风,20万+,5,14万+,300+,800+,0.99
10090536863396,志高（CHIGO）空调挂机,//item.jd.com/10090536863396.html,志高爱默生专卖店,1399.00,键控/遥控,五级能效,定频,无,壁挂式,单冷,1匹,自清洁，独立除湿，可拆洗,#,#,#,#,#,#,志高（CHIGO）,#,#,#,#,#,1万+,5,9400+,5,10+,0.99
10097424260433,月兔KFR-35GW,//item.jd.com/10097424260433.html,月兔空调旗舰店,2000.00,键控/遥控,五级能效,定频,#,壁挂式,单冷,大1匹,#,#,#,#,#,#,#,月兔,#,#,#,#,#,100+,5,0,0,0,1.0
100026930165,小米KFR-26GW/V1A1,//item.jd.com/100026930165.html,小米京东自营旗舰店,1899.00,键控/遥控，APP操控,一级能效,变频,无,壁挂式,冷暖,大1匹,自清洁,#,#,#,#,#,#,小米（MI）,#,#,#,#,#,100万+,5,79万+,1400+,3900+,0.99
10102970743461,DENBIG空调挂机 冷暖空调 1.5匹一级能效变频变频挂式家用除湿卧室节能巨省电 酷省电 以旧换新 1匹 套装 单冷 【适用15㎡内】 包含JD基础安装,//item.jd.com/10102970743461.html,登比 DENBIG空调旗舰店,949.00,键控/遥控,五级能效,定频,#,壁挂式,单冷,1匹,静音设计，独立除湿,#,#,#,#,#,#,登比 DENBIG,#,#,#,#,#,1000+,5,200+,5,10+,0.92
10105859624081,科龙（KELON）KFR-72LW/QZ1-X1,//item.jd.com/10105859624081.html,海信智能家电旗舰店,999.00,键控/遥控,一级能效,变频,#,立柜式,冷暖,3匹,#,#,#,#,#,#,#,科龙（KELON）,#,#,#,#,#,0,5,0,0,0,1.0
10107017273611,长城【一级能效】空调1.5匹挂机出租屋壁挂式家用空调卧室冷暖挂机大风量节能省电 1.5匹 一级能效 单冷 上门安装,//item.jd.com/10107017273611.html,长城电器旗舰店,1289.00,键控/遥控,一级能效,定频,#,壁挂式,单冷,1.5匹,#,#,#,#,#,#,#,长城,#,#,#,#,#,500+,4,200+,7,60+,0.79
100043945122,美的KFR-35GW/N8KS1-1,//item.jd.com/100043945122.html,美的京东自营官方旗舰店,2299.00,键控/遥控，APP操控,一级能效,变频,除菌,壁挂式,冷暖,大1.5匹,独立除湿,#,#,#,#,#,#,美的（Midea）,#,#,#,#,#,500万+,5,383万+,5700+,1.1万+,0.99
10067196650946,志高（CHIGO）空调挂机,//item.jd.com/10067196650946.html,志高爱默生专卖店,1939.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,1.5匹,电辅加热，独立除湿,#,#,#,#,#,#,志高（CHIGO）,#,#,#,#,#,1万+,5,9400+,5,10+,0.99
25864924186,申花（SHENHUA）KFRd-35GW/A9-2SH(B5),//item.jd.com/25864924186.html,申花空调旗舰店,798.00,键控/遥控,五级能效,定频,无,壁挂式,单冷,1匹,自清洁，独立除湿，可拆洗,#,#,#,#,#,#,申花（SHENHUA）,#,#,#,#,#,20万+,5,9万+,1200+,4500+,0.94
100039042553,小米KFR-35GW/N1A1,//item.jd.com/100039042553.html,小米京东自营旗舰店,1999.00,键控/遥控，APP操控,一级能效,变频,无,壁挂式,冷暖,1.5匹,智能调节，自清洁，独立除湿,#,#,#,#,#,#,小米（MI）,#,#,#,#,#,100万+,5,79万+,1400+,3900+,0.99
10046083403588,长虹（CHANGHONG）KFR-26GW/ZDHQW1+R1,//item.jd.com/10046083403588.html,长虹空调官方旗舰店,1599.00,键控/遥控，APP操控,一级能效,变频,无,壁挂式,冷暖,1匹,智能调节，自清洁，静音设计,#,#,#,#,#,#,长虹（CHANGHONG）,#,#,#,#,#,1万+,5,8500+,10+,40+,0.99
10102998918788,登比登比空调 以旧换新 大1.5匹 三级能效,//item.jd.com/10102998918788.html,登比 DENBIG空调旗舰店,500.00,键控/遥控,三级能效,变频,#,壁挂式,冷暖,大1.5匹,#,#,#,#,#,#,#,登比 DENBIG,#,#,#,#,#,200+,5,0,0,0,1.0
100120551466,格力KFR-35GW/(35504)FNhAa-B1,//item.jd.com/100120551466.html,格力京东自营官方旗舰店,2599.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,1.5匹,自清洁，独立除湿，可拆洗,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,5万+,5,1.4万+,70+,200+,0.98
100101594608,长虹KFR-35GW/Q7S+R1,//item.jd.com/100101594608.html,长虹空调京东自营旗舰店,2799.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,大1.5匹,#,#,#,#,#,#,#,长虹（CHANGHONG）,#,#,#,#,#,22,5,10+,0,0,1.0
10102970743465,DENBIG空调挂机 冷暖空调 1.5匹一级能效变频变频挂式家用除湿卧室节能巨省电 酷省电 以旧换新 大1匹 套装 冷暖【适用20㎡内】 包含JD基础安装,//item.jd.com/10102970743465.html,登比 DENBIG空调旗舰店,1149.00,键控/遥控,五级能效,定频,#,壁挂式,冷暖,大1匹,静音设计，独立除湿,#,#,#,#,#,#,登比 DENBIG,#,#,#,#,#,1000+,5,200+,5,10+,0.92
100015491508,格力KFR-26GW/NhGc3B,//item.jd.com/100015491508.html,格力京东自营官方旗舰店,2219.00,键控/遥控,三级能效,变频,除菌,壁挂式,冷暖,大1匹,自清洁，独立除湿,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,500万+,5,183万+,8700+,2.1万+,0.98
10102594112113,格力KFR-35GW/NhGc1B,//item.jd.com/10102594112113.html,格力经世格新专卖店,2699.00,键控/遥控,一级能效,变频,抗菌，除菌,壁挂式,冷暖,1.5匹,电辅加热，自清洁，可拆洗,#,#,#,#,#,#,格力,#,#,#,#,#,5000+,5,1000+,10+,6,0.98
100057895173,小米KF-26GW/C2A5,//item.jd.com/100057895173.html,小米京东自营旗舰店,1499.00,键控/遥控，APP操控,五级能效,定频,无,壁挂式,单冷,大1匹,可拆洗,#,#,#,#,#,#,小米（MI）,#,#,#,#,#,5万+,5,2.8万+,70+,200+,0.99
100043945116,美的KFR-26GW/N8KS1-1,//item.jd.com/100043945116.html,美的京东自营官方旗舰店,2099.00,键控/遥控，APP操控,一级能效,变频,除菌,壁挂式,冷暖,大1匹,智能调节，自清洁，独立除湿,#,#,#,#,#,#,美的（Midea）,#,#,#,#,#,500万+,5,383万+,5700+,1.1万+,0.99
10053662569557,SANSUI山水空调,//item.jd.com/10053662569557.html,优源汇专营店,1249.00,键控/遥控,五级能效,定频,无,壁挂式,单冷,1匹,独立除湿，可拆洗,#,#,#,#,#,#,SANSUI,#,#,#,#,#,5000+,5,3100+,20+,100+,0.96
100014129010,TCLKFRd-26GW/D-XQ11Bp(B3),//item.jd.com/100014129010.html,TCL京东自营官方旗舰店,1499.00,键控/遥控,三级能效,变频,无,壁挂式,冷暖,大1匹,独立除湿,#,#,#,#,#,#,TCL,#,#,#,#,舒适风,50万+,5,47万+,1100+,2600+,0.99
100103181990,小米KFR-35GW/V1A1,//item.jd.com/100103181990.html,小米京东自营旗舰店,2599.00,键控/遥控，APP操控,一级能效,变频,无,壁挂式,冷暖,1.5匹,智能调节，自清洁，独立除湿,#,#,#,#,#,#,小米（MI）,#,#,#,#,舒适风,100万+,5,79万+,1400+,3900+,0.99
100086927364,华凌KFR-35GW/N8HA1Ⅱ,//item.jd.com/100086927364.html,华凌京东自营官方旗舰店,1799.00,键控/遥控，APP操控,一级能效,变频,#,壁挂式,冷暖,1.5匹,#,#,#,#,#,#,#,华凌,#,#,#,#,#,5万+,5,3.1万+,30+,70+,0.99
10049009117794,TCLKFRd-35G/D-STA22Bp(B1),//item.jd.com/10049009117794.html,云创电器专营店,1788.00,键控/遥控,一级能效,变频,除菌,壁挂式,冷暖,1.5匹,可拆洗,#,#,#,#,#,#,TCL,#,#,#,#,#,1000+,5,600+,0,2,0.99
10101905409832,oping空调大 1.5匹单冷暖变频空调挂机 节能省电低噪 家用大风量壁挂式快速制冷一键除湿自清 大1.5匹 套装 冷暖全铜管【上门安装】,//item.jd.com/10101905409832.html,杉锦电器专营店,1747.99,键控/遥控,一级能效,变频,#,壁挂式,单冷,大1.5匹,#,#,#,#,#,#,#,欧品（oping）,#,#,#,#,#,500+,5,100+,4,10,0.91
10103355250037,东宝空调挂机 新能效 节能省电除湿 自清洁  变频壁挂式家用出租房卧室宿舍壁挂式空调 大1匹 一级能效 强劲冷暖 节能变频【全铜管】 送货入户 上门安装,//item.jd.com/10103355250037.html,东宝空调官方旗舰店,1348.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,1匹,#,#,#,#,#,#,#,东宝,#,#,#,#,#,1000+,5,500+,4,8,0.98
10095351319061,华蒜KFR-35GW/BpR3HSQK15(B1),//item.jd.com/10095351319061.html,华蒜旗舰店,1595.00,键控/遥控,一级能效,变频,除菌，银离子抗菌滤网,壁挂式,冷暖,大1.5匹,#,#,#,#,#,#,#,华蒜,#,#,#,#,#,2000+,5,1000+,10,10+,0.98
100109157580,奥克斯KFR-32GW/BpR3AQS1(B1),//item.jd.com/100109157580.html,奥克斯空调京东自营旗舰店,1619.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,1.5匹,#,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,50万+,5,43万+,400+,600+,0.99
100093083251,TCLKFRd-46GW/D-STA22Bp(B1),//item.jd.com/100093083251.html,TCL京东自营官方旗舰店,2396.00,键控/遥控，APP操控,一级能效,变频,#,壁挂式,冷暖,2匹,自清洁，独立除湿,#,#,#,#,#,#,TCL,#,#,#,#,#,50万+,5,47万+,1100+,2600+,0.99
100105234398,TCLKFRd-72LW/D-ME21Bp(B1),//item.jd.com/100105234398.html,TCL京东自营官方旗舰店,3699.00,键控/遥控，APP操控,一级能效,变频,#,立柜式,冷暖,3匹,#,#,#,#,#,#,#,TCL,#,#,#,#,#,20万+,5,18万+,300+,900+,0.99
10103271681928,ZHIZHAHUAXIANGJI【一级能效】冷暖空调出租屋家用空调卧室冷单冷挂机大风量节能省电强劲制冷卧室壁挂式 1匹 单冷【上门安装】,//item.jd.com/10103271681928.html,糯面空调专营店,1269.00,键控/遥控,一级能效,定频,#,壁挂式,冷暖,大1.5匹,#,#,#,#,#,#,#,ZHIZHAHUAXIANGJI,#,#,#,#,#,1000+,5,200+,1,9,0.96
10070327043470,志高（CHIGO）169.218.186.02,//item.jd.com/10070327043470.html,志高空调旗舰店,1869.00,键控/遥控,一级能效,变频,无,壁挂式,冷暖,大1匹,自清洁，独立除湿,#,#,#,#,#,#,志高（CHIGO）,#,#,#,#,#,5000+,5,1200+,9,10+,0.98
10096643146040,华凌KFR-35GW/N8HL1 pro,//item.jd.com/10096643146040.html,#,1799.00,键控/遥控，APP操控,一级能效,变频,无,壁挂式,冷暖,1.5匹,智能调节，静音设计，独立除湿,#,#,#,#,#,#,华凌,#,#,#,#,#,200+,5,100+,0,0,1.0
100088518706,统帅KFR-35GW/05LKG81TU1,//item.jd.com/100088518706.html,海尔京东自营旗舰店,1799.00,键控/遥控，APP操控,一级能效,变频,#,壁挂式,冷暖,1.5匹,自清洁,#,#,#,#,#,#,统帅（Leader）,#,#,#,#,#,20万+,5,13万+,200+,400+,0.99
10101459020874,CHANGCHENG【一级能效】空调1.5匹空调挂机 舒适节能省电壁挂式出租房 卧室 客厅 冷暖空调 1匹 一级能效 单冷【上门安装】,//item.jd.com/10101459020874.html,纳帅生活电器专营店,1289.00,键控/遥控,一级能效,定频,#,壁挂式,单冷,1匹,#,#,#,#,#,#,#,长城（CHANGCHENG）,#,#,#,#,#,500+,5,100+,4,1,0.97
10103355250038,东宝空调挂机 新能效 节能省电除湿 自清洁  变频壁挂式家用出租房卧室宿舍壁挂式空调 大1.5匹 一级能效 强劲冷暖节能变频【JD安装】 送货入户 上门安装,//item.jd.com/10103355250038.html,东宝空调官方旗舰店,1398.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,1匹,#,#,#,#,#,#,#,东宝,#,#,#,#,#,1000+,5,500+,4,8,0.98
10103355250036,东宝空调挂机 新能效 节能省电除湿 自清洁  变频壁挂式家用出租房卧室宿舍壁挂式空调 1匹 一级能效 急速制冷 节能变频【全铜管】 送货入户 上门安装,//item.jd.com/10103355250036.html,东宝空调官方旗舰店,1148.00,键控/遥控,一级能效,变频,#,壁挂式,单冷,1匹,#,#,#,#,#,#,#,东宝,#,#,#,#,#,1000+,5,500+,4,8,0.98
10105004656162,美的（Midea）KFR-26GW/N8KS1-1,//item.jd.com/10105004656162.html,美的空调精选旗舰店,2299.00,键控/遥控，APP操控,一级能效,变频,抗菌，除菌,壁挂式,冷暖,1.5匹,智能调节，独立除湿，可拆洗,#,#,#,#,#,#,美的（Midea）,#,#,#,#,#,1000+,5,400+,2,3,0.98
10101499361766,AMCOR空调1.5匹一级能效变频冷暖空调挂机 酷省电壁挂式卧室新风空调 客厅空调酷静冷暖空调 独立除湿 大1.5匹 一级能效 【冷暖变频】限购【全铜管】 JD基础安装,//item.jd.com/10101499361766.html,AMCOR电器旗舰店,1397.00,键控/遥控,一级能效,变频,除PM2.5，除甲醛，除菌,壁挂式,冷暖,大1.5匹,智能调节，新风，独立除湿,#,#,#,#,#,#,AMCOR,#,#,#,#,#,5000+,5,1400+,10+,30+,0.96
100041625567,华凌KFR-35GW/N8HE1Pro,//item.jd.com/100041625567.html,华凌京东自营官方旗舰店,2099.00,键控/遥控，APP操控,一级能效,变频,无,壁挂式,冷暖,1.5匹,智能调节，自清洁,#,#,#,#,#,#,华凌,#,#,#,#,舒适风,50万+,5,56万+,1000+,2700+,0.99
10107017258405,长城【一级能效】空调1.5匹挂机出租屋壁挂式家用空调卧室冷暖挂机大风量节能省电 大1.5匹 一级能效 单冷 上门安装,//item.jd.com/10107017258405.html,长城电器旗舰店,1319.00,键控/遥控,一级能效,定频,#,壁挂式,单冷,大1.5匹,#,#,#,#,#,#,#,长城,#,#,#,#,#,500+,4,200+,7,60+,0.79
10087224311632,三菱（Mitsubishi）KFRd-26GW/Bp-LZA(B1),//item.jd.com/10087224311632.html,三菱重工空调旗舰店,2374.00,键控/遥控,一级能效,变频,无,壁挂式,冷暖,1.5匹,智能调节，自清洁，静音设计,#,#,#,#,#,#,三菱（Mitsubishi）,#,#,#,#,#,2000+,5,800+,1,5,0.99
10051442091008,美的（Midea）KFR-26GW/N8KS1-1,//item.jd.com/10051442091008.html,美的空调旗舰店,2099.00,键控/遥控，APP操控,一级能效,变频,抗菌，除菌,壁挂式,冷暖,大1匹,智能调节，自清洁，独立除湿,#,#,#,#,#,#,美的（Midea）,#,#,#,#,#,2万+,5,2.1万+,20+,80+,0.99
10107017258407,长城【一级能效】空调1.5匹挂机出租屋壁挂式家用空调卧室冷暖挂机大风量节能省电 1.5匹 一级能效 冷暖 上门安装,//item.jd.com/10107017258407.html,长城电器旗舰店,1349.00,键控/遥控,一级能效,定频,#,壁挂式,单冷,大1.5匹,#,#,#,#,#,#,#,长城,#,#,#,#,#,500+,4,200+,7,60+,0.79
100115024854,本巴KF-26GW/N2-FG(5)A-BA,//item.jd.com/100115024854.html,本巴空调京喜专区,1169.00,键控/遥控,五级能效,定频,银离子抗菌滤网,壁挂式,单冷,大1匹,无风感，自清洁，静音设计,#,#,#,#,#,#,本巴,#,#,#,#,#,1000+,5,400+,4,10,0.97
100099095833,格力KFR-32GW/NhGh1B,//item.jd.com/100099095833.html,格力京东自营官方旗舰店,2599.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,1.5匹,电辅加热，自清洁，可拆洗,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,5万+,5,1.4万+,70+,200+,0.97
10077278134568,志高（CHIGO）KFR-72Q3W/N4EY-QB(3),//item.jd.com/10077278134568.html,志高志礼专卖店,8.01,键控/遥控,三级能效,变频,抗菌，除菌,壁挂式,冷暖,3匹,自清洁，静音设计，独立除湿,#,#,#,#,#,#,志高（CHIGO）,#,#,#,#,#,1,5,1,0,0,1.0
10101459020876,CHANGCHENG【一级能效】空调1.5匹空调挂机 舒适节能省电壁挂式出租房 卧室 客厅 冷暖空调 大1.5匹 一级能效 冷暖 【上门安装】,//item.jd.com/10101459020876.html,纳帅生活电器专营店,1689.00,键控/遥控,一级能效,定频,#,壁挂式,单冷,1匹,#,#,#,#,#,#,#,长城（CHANGCHENG）,#,#,#,#,#,500+,5,100+,4,1,0.97
10103171354870,OPING空调挂机大1.5匹冷暖变频壁挂式新风节能定频大风量客厅主卧适用节能省电出租宿舍 大1.5匹 套装 冷暖全铜管【上门安装】,//item.jd.com/10103171354870.html,久预空调专营店,1749.00,键控/遥控,一级能效,定频,#,壁挂式,单冷,大1.5匹,#,#,#,#,#,#,#,欧品;OPING,#,#,#,#,#,100+,5,100+,0,1,0.99
10103748156439,东宝大1.5匹空调挂机 新能效一级变频节能省电除湿壁挂式家用出租房卧室宿舍壁挂式空调 大1.5匹 一级能效 强劲冷暖节能变频【六年质保】 送货入户【不提供安装】,//item.jd.com/10103748156439.html,东宝空调官方旗舰店,1249.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,1匹,#,#,#,#,#,#,#,东宝,#,#,#,#,#,200+,5,50+,2,0,0.96
10102450511384,CHANGCHENG【一级能效】空调1.5匹挂机出租屋壁挂式家用空调卧室冷暖挂机节能省电壁挂式 大1匹 一级能效 冷暖 上门安装(全国联保十年),//item.jd.com/10102450511384.html,宸智家用电器专营店,1559.00,键控/遥控,一级能效,定频,#,壁挂式,冷暖,大1匹,#,#,#,#,#,#,#,长城（CHANGCHENG）,#,#,#,#,#,1000+,5,300+,4,5,0.97
10104945133197,夏新KF-26GW/AMKL,//item.jd.com/10104945133197.html,夏新空调旗舰店,1069.00,键控/遥控,五级能效,定频,无，VP-过滤网,壁挂式,单冷,1匹,自清洁，静音设计，独立除湿,#,#,#,#,#,#,夏新,#,#,#,#,#,2000+,5,700+,5,20+,0.96
27145754028,畅欣窗式空调1匹1.5匹窗机窗口式一体机单冷型2匹3匹窗机空调窗台式移动免安装小空调机房小型设备吊车 正1匹单冷遥控6-11平米,//item.jd.com/27145754028.html,畅欣官方旗舰店,1100.00,键控/遥控,一级能效,定频,VP-过滤网,壁挂式,单冷,1匹,独立除湿,#,#,#,#,#,#,畅欣,#,#,#,#,#,2000+,5,700+,20+,10+,0.95
10049009117795,TCLKFRd-35G/D-STA22Bp(B1),//item.jd.com/10049009117795.html,云创电器专营店,1699.00,键控/遥控,一级能效,变频,除菌,壁挂式,冷暖,1匹,可拆洗,#,#,#,#,#,#,TCL,#,#,#,#,#,1000+,5,600+,0,2,0.99
100017981386,格力KFR-35GW/NhGe3B,//item.jd.com/100017981386.html,格力京东自营官方旗舰店,2419.00,键控/遥控,三级能效,变频,除菌,壁挂式,冷暖,1.5匹,自清洁，独立除湿,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,500万+,5,183万+,8700+,2.1万+,0.98
100120551464,格力KFR-26GW/(26504)FNhAa-B1,//item.jd.com/100120551464.html,格力京东自营官方旗舰店,2399.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,大1匹,自清洁，独立除湿，可拆洗,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,5万+,5,1.4万+,70+,200+,0.98
10057170960783,申花（SHENHUA）KFRd-35GW/A9-2SH(B5),//item.jd.com/10057170960783.html,申花空调旗舰店,1149.00,键控/遥控,五级能效,定频,无,壁挂式,单冷,1.5匹,自清洁，独立除湿，可拆洗,#,#,#,#,#,#,申花（SHENHUA）,#,#,#,#,#,20万+,5,9万+,1200+,4500+,0.94
10029891449337,小米（MI）KFR-35GW/S1A1,//item.jd.com/10029891449337.html,小米云端未来专卖店,1588.00,键控/遥控,三级能效,变频,无,壁挂式,冷暖,1.5匹,#,#,#,#,#,#,#,小米（MI）,#,#,#,#,#,2万+,5,9200+,40+,100+,0.97
100043945116,美的KFR-26GW/N8KS1-1,//item.jd.com/100043945116.html,美的京东自营官方旗舰店,2099.00,键控/遥控，APP操控,一级能效,变频,除菌,壁挂式,冷暖,大1匹,智能调节，自清洁，独立除湿,#,#,#,#,#,#,美的（Midea）,#,#,#,#,#,500万+,5,383万+,5700+,1.1万+,0.99
10103190054445,CHANGCHENG【一级能效】空调1.5匹空调挂机 舒适节能省电壁挂式出租房 卧室 客厅 冷暖空调 大1.5匹 一级能效 单冷【上门安装】,//item.jd.com/10103190054445.html,纳帅生活电器专营店,1599.00,键控/遥控,一级能效,定频,#,壁挂式,单冷,1匹,#,#,#,#,#,#,#,长城（CHANGCHENG）,#,#,#,#,#,500+,5,100+,4,1,0.97
100100526600,奥克斯KFR-35GW/BpR3AQS1(B1),//item.jd.com/100100526600.html,奥克斯空调京东自营旗舰店,1899.00,键控/遥控,一级能效,变频,#,壁挂式,冷暖,1.5匹,#,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,50万+,5,43万+,400+,600+,0.99
100016943563,华凌KFR-35GW/N8HL1,//item.jd.com/100016943563.html,华凌京东自营官方旗舰店,1899.00,键控/遥控，APP操控,一级能效,变频,无,壁挂式,冷暖,1.5匹,智能调节，自清洁,#,#,#,#,#,#,华凌,#,#,#,#,舒适风,50万+,5,50万+,700+,2000+,0.99
100015491508,格力KFR-26GW/NhGc3B,//item.jd.com/100015491508.html,格力京东自营官方旗舰店,2219.00,键控/遥控,三级能效,变频,除菌,壁挂式,冷暖,大1匹,自清洁，独立除湿,#,#,#,#,#,#,格力（GREE）,#,#,#,#,#,500万+,5,183万+,8700+,2.1万+,0.98
100090314830,TCLKFR-35GW/RV2Ea+B1,//item.jd.com/100090314830.html,TCL京东自营官方旗舰店,1899.00,键控/遥控，APP操控,一级能效,变频,#,壁挂式,冷暖,1.5匹,智能调节，自清洁，独立除湿,#,#,#,#,#,#,TCL,#,#,#,#,#,50万+,5,32万+,700+,1500+,0.99
10068482151561,奥克斯（AUX）KFR-33GW/BpR3PQK16(B1),//item.jd.com/10068482151561.html,奥克斯星火专卖店,1710.00,键控/遥控,三级能效,变频,无,壁挂式,冷暖,1.5匹,自清洁，静音设计,#,#,#,#,#,#,奥克斯（AUX）,#,#,#,#,#,2万+,5,1.2万+,40+,100+,0.98
100041625567,华凌KFR-35GW/N8HE1Pro,//item.jd.com/100041625567.html,华凌京东自营官方旗舰店,2099.00,键控/遥控，APP操控,一级能效,变频,无,壁挂式,冷暖,1.5匹,智能调节，自清洁,#,#,#,#,#,#,华凌,#,#,#,#,舒适风,50万+,5,56万+,1000+,2700+,0.99
69826611550,TCLKFR-51LW/JV2Ma+B3,//item.jd.com/69826611550.html,云创电器专营店,2879.00,#,#,变频,#,立柜式,冷暖,#,#,#,#,#,#,#,#,TCL,#,#,#,#,#,500+,5,300+,0,4,0.98
